Key,Category,QuestionNumber,matchOrnomatch,Difficulty,verdict,ResponseTime,routineStart,routineStamp,routineEnd,Cat2FeedbackTime,ParticipantID
2Item5,2,Item5,match,Medium,CORRECT,7.448545399995055,1680003524.0001438,"28/03/2023, 17:08:44",1680003531.4486892,1.0047801999899093,1
2Item6,2,Item6,match,Medium,INCORRECT,12.24108750000596,1680003532.4827454,"28/03/2023, 17:08:52",1680003544.7238328,1.0837218999949982,1
2Item7,2,Item7,match,Difficult,INCORRECT,34.899006499996176,1680003545.8375604,"28/03/2023, 17:09:05",1680003580.736567,0.7431745000067167,1
2Item8,2,Item8,nomatch,Difficult,CORRECT,8.483289900003001,1680003581.5151565,"28/03/2023, 17:09:41",1680003589.9984465,0.988319900003262,1
2Item9,2,Item9,nomatch,Difficult,INCORRECT,19.09138410000014,1680003591.0252693,"28/03/2023, 17:09:51",1680003610.1166534,0.9882383999938612,1
2Item10,2,Item10,match,Difficult,CORRECT,14.797885799998769,1680003611.1336284,"28/03/2023, 17:10:11",1680003625.9315145,0.7595641999942018,1
3spl1,3,spl1,match,Easy,CORRECT,3.337743699987186,1680003673.4726777,"28/03/2023, 17:11:13",1680003676.8104217,0.0,1
3spl2,3,spl2,nomatch,Easy,CORRECT,2.7742399999988265,1680003676.8365617,"28/03/2023, 17:11:16",1680003679.6108017,0.0,1
3Item15,3,Item15,nomatch,Difficult,INCORRECT,8.12838219999685,1680003679.634276,"28/03/2023, 17:11:19",1680003687.762658,0.0,1
3Item2,3,Item2,match,Easy,CORRECT,2.99982280000404,1680003687.7819774,"28/03/2023, 17:11:27",1680003690.7818005,0.0,1
3Item5,3,Item5,match,Easy,CORRECT,3.311917500002892,1680003690.800899,"28/03/2023, 17:11:30",1680003694.1128166,0.0,1
3Item12,3,Item12,match,Medium,CORRECT,8.014905899995938,1680003694.13405,"28/03/2023, 17:11:34",1680003702.1489558,0.0,1
3Item6,3,Item6,match,Easy,CORRECT,3.667333499994129,1680003702.164358,"28/03/2023, 17:11:42",1680003705.8316915,0.0,1
3Item8,3,Item8,nomatch,Medium,CORRECT,11.708548399998108,1680003705.8493102,"28/03/2023, 17:11:45",1680003717.5578585,0.0,1
3Item7,3,Item7,match,Medium,CORRECT,6.712749300000724,1680003717.571763,"28/03/2023, 17:11:57",1680003724.2845123,0.0,1
3Item9,3,Item9,nomatch,Medium,CORRECT,22.003141799999867,1680003724.2984047,"28/03/2023, 17:12:04",1680003746.3015466,0.0,1
3Item17,3,Item17,match,Difficult,INCORRECT,11.119301499988069,1680003746.3221033,"28/03/2023, 17:12:26",1680003757.4414048,0.0,1
3Item19,3,Item19,nomatch,Difficult,CORRECT,12.689455400002773,1680003757.4656482,"28/03/2023, 17:12:37",1680003770.1551037,0.0,1
3Item11,3,Item11,match,Medium,CORRECT,10.830572899998517,1680003770.176345,"28/03/2023, 17:12:50",1680003781.006918,0.0,1
3Item4,3,Item4,match,Easy,CORRECT,10.093456700007664,1680003781.0269625,"28/03/2023, 17:13:01",1680003791.1204193,0.0,1
3Item13,3,Item13,match,Difficult,CORRECT,7.794766100007109,1680003791.1398437,"28/03/2023, 17:13:11",1680003798.93461,0.0,1
3Item10,3,Item10,0,0,0,1.0,1680003798.93461,"28/03/2023, 07:43:18",1680003799.93461,0.0,1
1spl1,1,spl1,match,Easy,INCORRECT,10.800266799982635,1676984654.0079188,"21/02/2023, 18:34:14",1676984664.8081856,0.0,2
1spl2,1,spl2,nomatch,Easy,INCORRECT,4.553883499931544,1676984664.8897507,"21/02/2023, 18:34:24",1676984669.4436345,0.0,2
1Item1,1,Item1,match,Easy,CORRECT,7.018957699998282,1676984669.4622722,"21/02/2023, 18:34:29",1676984676.4812298,0.0,2
1Item2,1,Item2,match,Easy,CORRECT,12.819610300008208,1676984676.498954,"21/02/2023, 18:34:36",1676984689.3185644,0.0,2
1Item3,1,Item3,match,Easy,CORRECT,17.734157099970616,1676984689.3361669,"21/02/2023, 18:34:49",1676984707.070324,0.0,2
1Item4,1,Item4,match,Medium,CORRECT,28.35373239999172,1676984707.0870605,"21/02/2023, 18:35:07",1676984735.4407928,0.0,2
1Item5,1,Item5,nomatch,Medium,CORRECT,36.48539029993117,1676984735.4574869,"21/02/2023, 18:35:35",1676984771.942877,0.0,2
1Item6,1,Item6,match,Medium,CORRECT,27.52307060000021,1676984771.959428,"21/02/2023, 18:36:11",1676984799.4824986,0.0,2
1Item7,1,Item7,match,Difficult,INCORRECT,12.663398199947553,1676984799.4997764,"21/02/2023, 18:36:39",1676984812.1631746,0.0,2
1Item8,1,Item8,nomatch,Difficult,INCORRECT,26.7062546000816,1676984812.1843894,"21/02/2023, 18:36:52",1676984838.8906438,0.0,2
1Item9,1,Item9,match,Difficult,CORRECT,32.83550519996788,1676984838.906125,"21/02/2023, 18:37:18",1676984871.7416303,0.0,2
1Item10,1,Item10,nomatch,Difficult,CORRECT,6.476210299995728,1676984871.7576468,"21/02/2023, 18:37:51",1676984878.2338572,0.0,2
2spl1,2,spl1,match,Easy,CORRECT,16.105887399986386,1676984952.0671475,"21/02/2023, 18:39:12",1676984968.173035,0.0,2
2spl2,2,spl2,nomatch,Easy,INCORRECT,14.449039799976164,1676984969.9977677,"21/02/2023, 18:39:29",1676984984.4468074,0.0,2
2Item1,2,Item1,match,Easy,CORRECT,17.623109499923885,1676984986.521046,"21/02/2023, 18:39:46",1676985004.1441555,1.914909700048156,2
2Item2,2,Item2,match,Easy,INCORRECT,14.62464630010072,1676985006.088297,"21/02/2023, 18:40:06",1676985020.712943,1.4828522000461817,2
2Item3,2,Item3,match,Easy,CORRECT,25.24156669992953,1676985022.225292,"21/02/2023, 18:40:22",1676985047.4668586,1.2622758999932555,2
2Item4,2,Item4,nomatch,Medium,CORRECT,10.21244009991642,1676985048.7678344,"21/02/2023, 18:40:48",1676985058.9802744,1.10481940000318,2
2Item5,2,Item5,match,Medium,INCORRECT,15.877383599989116,1676985060.113615,"21/02/2023, 18:41:00",1676985075.9909987,1.3272275000344962,2
2Item6,2,Item6,match,Medium,CORRECT,16.260320300003514,1676985077.3492105,"21/02/2023, 18:41:17",1676985093.6095307,1.1482547000050545,2
2Item7,2,Item7,match,Difficult,CORRECT,20.859496799996123,1676985094.7897077,"21/02/2023, 18:41:34",1676985115.6492045,1.3251993999583649,2
2Item8,2,Item8,nomatch,Difficult,INCORRECT,13.541462799999865,1676985117.0046911,"21/02/2023, 18:41:57",1676985130.546154,1.23476609995123,2
2Item9,2,Item9,nomatch,Difficult,CORRECT,29.5400369000854,1676985131.816083,"21/02/2023, 18:42:11",1676985161.35612,2.142083700047806,2
2Item10,2,Item10,match,Difficult,CORRECT,20.13911550003104,1676985163.532077,"21/02/2023, 18:42:43",1676985183.6711926,1.1277521000010893,2
3spl1,3,spl1,match,Easy,CORRECT,10.863249500049278,1676985258.6874704,"21/02/2023, 18:44:18",1676985269.55072,0.0,2
3Item15,3,Item15,nomatch,Difficult,CORRECT,10.187834999989718,1676985270.7580256,"21/02/2023, 18:44:30",1676985280.9458606,0.0,2
3Item2,3,Item2,match,Easy,CORRECT,18.79182809998747,1676985280.963716,"21/02/2023, 18:44:40",1676985299.7555442,0.0,2
3Item5,3,Item5,match,Easy,CORRECT,14.518368900055066,1676985299.7713392,"21/02/2023, 18:44:59",1676985314.289708,0.0,2
3Item12,3,Item12,match,Medium,CORRECT,15.427699699997902,1676985314.306563,"21/02/2023, 18:45:14",1676985329.7342627,0.0,2
3Item6,3,Item6,match,Easy,INCORRECT,16.067476899945177,1676985329.7506645,"21/02/2023, 18:45:29",1676985345.8181417,0.0,2
3Item8,3,Item8,nomatch,Medium,INCORRECT,18.051560499938205,1676985345.8343918,"21/02/2023, 18:45:45",1676985363.8859522,0.0,2
3Item7,3,Item7,match,Medium,CORRECT,14.737640199949965,1676985363.9024422,"21/02/2023, 18:46:03",1676985378.6400824,0.0,2
3Item9,3,Item9,0,0,0,12.0,1676985378.6400824,"21/02/2023, 08:16:18",1676985390.6400824,0.0,2
1spl1,1,spl1,match,Easy,CORRECT,19.1456933999998,1678717040.109505,"13/03/2023, 19:47:20",1678717059.2551982,0.0,3
1spl2,1,spl2,nomatch,Easy,CORRECT,20.72870210000019,1678717059.3221974,"13/03/2023, 19:47:39",1678717080.0508995,0.0,3
1Item1,1,Item1,match,Easy,CORRECT,25.205074800000148,1678717080.0803275,"13/03/2023, 19:48:00",1678717105.2854023,0.0,3
1Item2,1,Item2,match,Easy,CORRECT,26.603361600000422,1678717105.3040934,"13/03/2023, 19:48:25",1678717131.907455,0.0,3
1Item3,1,Item3,match,Easy,CORRECT,16.740123399999902,1678717131.924991,"13/03/2023, 19:48:51",1678717148.6651144,0.0,3
1Item4,1,Item4,match,Medium,CORRECT,24.064989600000445,1678717148.681053,"13/03/2023, 19:49:08",1678717172.7460425,0.0,3
1Item5,1,Item5,nomatch,Medium,CORRECT,83.3821539999999,1678717172.7642536,"13/03/2023, 19:49:32",1678717256.1464076,0.0,3
1Item6,1,Item6,match,Medium,INCORRECT,20.231434199999967,1678717256.1640189,"13/03/2023, 19:50:56",1678717276.395453,0.0,3
1Item7,1,Item7,match,Difficult,CORRECT,19.564964899999723,1678717276.4142232,"13/03/2023, 19:51:16",1678717295.9791882,0.0,3
1Item8,1,Item8,nomatch,Difficult,CORRECT,29.861888200000067,1678717295.9960124,"13/03/2023, 19:51:35",1678717325.8579006,0.0,3
1Item9,1,Item9,match,Difficult,INCORRECT,31.04572479999933,1678717325.8737414,"13/03/2023, 19:52:05",1678717356.9194665,0.0,3
1Item10,1,Item10,nomatch,Difficult,CORRECT,20.371571500000755,1678717356.940653,"13/03/2023, 19:52:36",1678717377.3122246,0.0,3
2spl1,2,spl1,match,Easy,CORRECT,7.230046099999527,1678717516.4026315,"13/03/2023, 19:55:16",1678717523.6326776,0.0,3
2spl2,2,spl2,nomatch,Easy,INCORRECT,10.581847099998413,1678717526.929775,"13/03/2023, 19:55:26",1678717537.5116222,0.0,3
2Item1,2,Item1,match,Easy,CORRECT,9.9782737000005,1678717543.0347712,"13/03/2023, 19:55:43",1678717553.0130448,1.6897688999997629,3
2Item2,2,Item2,match,Easy,CORRECT,9.822451600000932,1678717554.7338617,"13/03/2023, 19:55:54",1678717564.5563133,1.2764210999994248,3
2Item3,2,Item3,match,Easy,CORRECT,21.187258799998745,1678717565.8610198,"13/03/2023, 19:56:05",1678717587.0482786,1.1266427000009571,3
2Item4,2,Item4,nomatch,Medium,INCORRECT,19.955493200001,1678717588.2096057,"13/03/2023, 19:56:28",1678717608.165099,1.1747519000000466,3
2Item5,2,Item5,match,Medium,CORRECT,23.17012600000089,1678717609.3688576,"13/03/2023, 19:56:49",1678717632.5389836,1.1125195999993591,3
2Item6,2,Item6,match,Medium,CORRECT,17.98675230000117,1678717633.6836996,"13/03/2023, 19:57:13",1678717651.670452,1.200662100000045,3
2Item7,2,Item7,match,Difficult,CORRECT,50.846439500001,1678717652.90326,"13/03/2023, 19:57:32",1678717703.7496996,1.2056629999988218,3
2Item8,2,Item8,nomatch,Difficult,CORRECT,39.989213000000746,1678717704.985536,"13/03/2023, 19:58:24",1678717744.974749,1.0502618999998958,3
2Item9,2,Item9,nomatch,Difficult,CORRECT,27.565694200000507,1678717746.0629015,"13/03/2023, 19:59:06",1678717773.6285956,0.9944142000003922,3
2Item10,2,Item10,match,Difficult,CORRECT,50.53496980000091,1678717774.6573932,"13/03/2023, 19:59:34",1678717825.192363,1.0622404999994617,3
3spl1,3,spl1,match,Easy,INCORRECT,6.460046300000613,1678717905.9113302,"13/03/2023, 20:01:45",1678717912.3713765,0.0,3
3Item15,3,Item15,nomatch,Difficult,CORRECT,10.482653999999457,1678717917.9806952,"13/03/2023, 20:01:57",1678717928.463349,0.0,3
3Item2,3,Item2,match,Easy,CORRECT,8.932326600001034,1678717928.477217,"13/03/2023, 20:02:08",1678717937.4095435,0.0,3
3Item5,3,Item5,match,Easy,CORRECT,5.747664700000314,1678717937.42801,"13/03/2023, 20:02:17",1678717943.175675,0.0,3
3Item12,3,Item12,match,Medium,SKIP,13.993153999999777,1678717943.1920104,"13/03/2023, 20:02:23",1678717957.1851645,0.0,3
3Item6,3,Item6,match,Easy,CORRECT,7.080657299999075,1678717957.2020566,"13/03/2023, 20:02:37",1678717964.282714,0.0,3
3Item8,3,Item8,nomatch,Medium,INCORRECT,9.58235550000063,1678717964.2963307,"13/03/2023, 20:02:44",1678717973.8786862,0.0,3
3Item7,3,Item7,match,Medium,SKIP,13.289603200000784,1678717973.8950744,"13/03/2023, 20:02:53",1678717987.1846776,0.0,3
3Item9,3,Item9,nomatch,Medium,SKIP,6.149165999999241,1678717987.2052474,"13/03/2023, 20:03:07",1678717993.3544135,0.0,3
3Item17,3,Item17,match,Difficult,CORRECT,10.668898099998842,1678717993.3712316,"13/03/2023, 20:03:13",1678718004.0401297,0.0,3
3Item19,3,Item19,nomatch,Difficult,SKIP,3.129224599999361,1678718004.0605748,"13/03/2023, 20:03:24",1678718007.1897993,0.0,3
3Item11,3,Item11,match,Medium,SKIP,3.8672079000007216,1678718007.2059608,"13/03/2023, 20:03:27",1678718011.0731688,0.0,3
3Item4,3,Item4,match,Easy,CORRECT,7.434928800001217,1678718011.0894818,"13/03/2023, 20:03:31",1678718018.5244107,0.0,3
3Item13,3,Item13,match,Difficult,SKIP,6.533132700000351,1678718018.5412102,"13/03/2023, 20:03:38",1678718025.074343,0.0,3
3Item10,3,Item10,match,Medium,CORRECT,4.2161508000008325,1678718025.0889902,"13/03/2023, 20:03:45",1678718029.305141,0.0,3
3Item14,3,Item14,match,Difficult,CORRECT,4.220323600000484,1678718029.317037,"13/03/2023, 20:03:49",1678718033.537361,0.0,3
3Item3,3,Item3,match,Easy,CORRECT,3.292392800000016,1678718033.554555,"13/03/2023, 20:03:53",1678718036.8469477,0.0,3
3Item20,3,Item20,0,0,0,2.0,1678718036.8469477,"13/03/2023, 10:33:56",1678718038.8469477,0.0,3
1spl1,1,spl1,match,Easy,CORRECT,9.271100000012666,1676378840.625968,"14/02/2023, 18:17:20",1676378849.897068,0.0,4
1spl2,1,spl2,nomatch,Easy,INCORRECT,10.498789700039197,1676378849.9711802,"14/02/2023, 18:17:29",1676378860.46997,0.0,4
1Item1,1,Item1,match,Easy,INCORRECT,15.956877299991902,1676378860.4961317,"14/02/2023, 18:17:40",1676378876.453009,0.0,4
1Item2,1,Item2,match,Easy,CORRECT,24.23241239995696,1676378876.470489,"14/02/2023, 18:17:56",1676378900.7029014,0.0,4
1Item3,1,Item3,match,Easy,CORRECT,30.40208299999358,1676378900.7228382,"14/02/2023, 18:18:20",1676378931.124921,0.0,4
1Item4,1,Item4,match,Medium,CORRECT,27.1183466000366,1676378931.1480026,"14/02/2023, 18:18:51",1676378958.2663493,0.0,4
1Item5,1,Item5,nomatch,Medium,CORRECT,15.13586260000011,1676378958.2847924,"14/02/2023, 18:19:18",1676378973.420655,0.0,4
1Item6,1,Item6,match,Medium,INCORRECT,17.504845100047532,1676378973.4383688,"14/02/2023, 18:19:33",1676378990.943214,0.0,4
1Item7,1,Item7,match,Difficult,CORRECT,33.80552460002946,1676378990.9671323,"14/02/2023, 18:19:50",1676379024.772657,0.0,4
1Item8,1,Item8,nomatch,Difficult,INCORRECT,24.836232899979223,1676379024.788124,"14/02/2023, 18:20:24",1676379049.624357,0.0,4
1Item9,1,Item9,match,Difficult,INCORRECT,24.863326199993026,1676379049.6388135,"14/02/2023, 18:20:49",1676379074.5021398,0.0,4
1Item10,1,Item10,nomatch,Difficult,CORRECT,19.13730789994588,1676379074.5185423,"14/02/2023, 18:21:14",1676379093.6558502,0.0,4
2spl1,2,spl1,match,Easy,CORRECT,8.763693799963221,1676379182.7457285,"14/02/2023, 18:23:02",1676379191.5094223,0.0,4
2spl2,2,spl2,nomatch,Easy,CORRECT,8.413874900026713,1676379194.9561422,"14/02/2023, 18:23:14",1676379203.370017,0.0,4
2Item1,2,Item1,match,Easy,CORRECT,12.62086049997015,1676379205.388752,"14/02/2023, 18:23:25",1676379218.0096126,4.279811499989592,4
2Item2,2,Item2,match,Easy,CORRECT,14.721265500003938,1676379222.3262937,"14/02/2023, 18:23:42",1676379237.0475593,2.9523104000254534,4
2Item3,2,Item3,match,Easy,CORRECT,16.113746299990453,1676379240.0362625,"14/02/2023, 18:24:00",1676379256.150009,1.8524972000159323,4
2Item4,2,Item4,nomatch,Medium,INCORRECT,31.65156210004352,1676379258.0394895,"14/02/2023, 18:24:18",1676379289.6910515,1.5885636999737471,4
2Item5,2,Item5,match,Medium,CORRECT,20.075093300023585,1676379291.3222928,"14/02/2023, 18:24:51",1676379311.397386,1.2884599000099115,4
2Item6,2,Item6,match,Medium,CORRECT,19.126451199990697,1676379312.7168036,"14/02/2023, 18:25:12",1676379331.8432548,1.364149399974849,4
2Item7,2,Item7,match,Difficult,CORRECT,19.712050699978136,1676379333.2503731,"14/02/2023, 18:25:33",1676379352.9624238,1.1921682999818586,4
2Item8,2,Item8,nomatch,Difficult,INCORRECT,10.99125429999549,1676379354.1866963,"14/02/2023, 18:25:54",1676379365.1779506,3.6025859000510536,4
2Item9,2,Item9,nomatch,Difficult,INCORRECT,14.326146000006702,1676379368.8226006,"14/02/2023, 18:26:08",1676379383.1487465,1.5310384999611415,4
2Item10,2,Item10,match,Difficult,CORRECT,22.94019430002664,1676379384.7136495,"14/02/2023, 18:26:24",1676379407.653844,1.396388900000602,4
3spl1,3,spl1,match,Easy,CORRECT,7.968339400016703,1676379473.761823,"14/02/2023, 18:27:53",1676379481.7301624,0.0,4
3Item15,3,Item15,nomatch,Difficult,INCORRECT,8.401269399968442,1676379485.8305247,"14/02/2023, 18:28:05",1676379494.231794,0.0,4
3Item2,3,Item2,match,Easy,CORRECT,2.9258895000093617,1676379494.251655,"14/02/2023, 18:28:14",1676379497.1775446,0.0,4
3Item5,3,Item5,match,Easy,CORRECT,5.886824199988041,1676379497.196273,"14/02/2023, 18:28:17",1676379503.0830972,0.0,4
3Item12,3,Item12,match,Medium,CORRECT,10.70271350000985,1676379503.1017165,"14/02/2023, 18:28:23",1676379513.80443,0.0,4
3Item6,3,Item6,match,Easy,CORRECT,4.50671180000063,1676379513.8244393,"14/02/2023, 18:28:33",1676379518.331151,0.0,4
3Item8,3,Item8,nomatch,Medium,INCORRECT,12.151435199950356,1676379518.3511522,"14/02/2023, 18:28:38",1676379530.5025873,0.0,4
3Item7,3,Item7,match,Medium,CORRECT,6.544215900008567,1676379530.522452,"14/02/2023, 18:28:50",1676379537.066668,0.0,4
3Item9,3,Item9,nomatch,Medium,INCORRECT,9.733296499995047,1676379537.086692,"14/02/2023, 18:28:57",1676379546.8199885,0.0,4
3Item17,3,Item17,match,Difficult,INCORRECT,4.859480799990706,1676379546.8387446,"14/02/2023, 18:29:06",1676379551.6982255,0.0,4
3Item19,3,Item19,nomatch,Difficult,SKIP,11.840125099988654,1676379551.7171073,"14/02/2023, 18:29:11",1676379563.5572324,0.0,4
3Item11,3,Item11,match,Medium,SKIP,9.612979999976233,1676379563.5741806,"14/02/2023, 18:29:23",1676379573.1871605,0.0,4
3Item4,3,Item4,match,Easy,CORRECT,4.412354100029916,1676379573.2074783,"14/02/2023, 18:29:33",1676379577.6198325,0.0,4
3Item13,3,Item13,match,Difficult,SKIP,3.86960380000528,1676379577.6399462,"14/02/2023, 18:29:37",1676379581.50955,0.0,4
3Item10,3,Item10,match,Medium,INCORRECT,6.289741099986713,1676379581.532455,"14/02/2023, 18:29:41",1676379587.822196,0.0,4
3Item14,3,Item14,match,Difficult,CORRECT,12.914571900037116,1676379587.84599,"14/02/2023, 18:29:47",1676379600.760562,0.0,4
3Item3,3,Item3,match,Easy,CORRECT,3.95350329997018,1676379600.7879012,"14/02/2023, 18:30:00",1676379604.7414043,0.0,4
3Item20,3,Item20,0,0,0,2.0,1676379604.7414043,"14/02/2023, 08:00:04",1676379606.7414043,0.0,4
1spl1,1,spl1,match,Easy,CORRECT,32.520809999958146,1676462372.2574875,"15/02/2023, 17:29:32",1676462404.7782974,0.0,5
1spl2,1,spl2,nomatch,Easy,CORRECT,25.91732729994692,1676462404.8972995,"15/02/2023, 17:30:04",1676462430.814627,0.0,5
1Item1,1,Item1,match,Easy,CORRECT,24.26056460000109,1676462430.8346496,"15/02/2023, 17:30:30",1676462455.095214,0.0,5
1Item2,1,Item2,match,Easy,CORRECT,37.41049270000076,1676462455.120078,"15/02/2023, 17:30:55",1676462492.5305707,0.0,5
1Item3,1,Item3,match,Easy,CORRECT,21.785447100002784,1676462492.5556526,"15/02/2023, 17:31:32",1676462514.3410995,0.0,5
1Item4,1,Item4,match,Medium,CORRECT,30.922936199989635,1676462514.3687189,"15/02/2023, 17:31:54",1676462545.291655,0.0,5
1Item5,1,Item5,nomatch,Medium,CORRECT,59.99739019997651,1676462545.3189938,"15/02/2023, 17:32:25",1676462605.316384,0.0,5
1Item6,1,Item6,match,Medium,CORRECT,45.56541250000009,1676462605.3462808,"15/02/2023, 17:33:25",1676462650.911693,0.0,5
1Item7,1,Item7,match,Difficult,CORRECT,30.43985500000417,1676462650.9299831,"15/02/2023, 17:34:10",1676462681.3698382,0.0,5
1Item8,1,Item8,nomatch,Difficult,CORRECT,23.64814840001054,1676462681.3914502,"15/02/2023, 17:34:41",1676462705.0395985,0.0,5
1Item9,1,Item9,match,Difficult,SKIP,5.207665099995211,1676462705.06432,"15/02/2023, 17:35:05",1676462710.2719853,0.0,5
1Item10,1,Item10,nomatch,Difficult,CORRECT,9.141779300000051,1676462710.2915454,"15/02/2023, 17:35:10",1676462719.4333246,0.0,5
2spl1,2,spl1,match,Easy,CORRECT,14.388844200002495,1676462828.8051555,"15/02/2023, 17:37:08",1676462843.1939998,0.0,5
2spl2,2,spl2,nomatch,Easy,CORRECT,12.17703810002422,1676462846.4812443,"15/02/2023, 17:37:26",1676462858.6582825,0.0,5
2Item1,2,Item1,match,Easy,CORRECT,17.540588499978185,1676462860.1174054,"15/02/2023, 17:37:40",1676462877.657994,1.0071797000127845,5
2Item2,2,Item2,match,Easy,CORRECT,14.514791100053117,1676462878.705558,"15/02/2023, 17:37:58",1676462893.220349,1.1010836000205018,5
2Item3,2,Item3,match,Easy,CORRECT,13.084242799959611,1676462894.362271,"15/02/2023, 17:38:14",1676462907.446514,1.2746237000101246,5
2Item4,2,Item4,nomatch,Medium,CORRECT,22.80555049999384,1676462908.7569392,"15/02/2023, 17:38:28",1676462931.5624895,0.7376704000052996,5
2Item5,2,Item5,match,Medium,CORRECT,27.23643779999111,1676462932.3376656,"15/02/2023, 17:38:52",1676462959.5741034,0.8814295000047423,5
2Item6,2,Item6,match,Medium,CORRECT,25.490503799985163,1676462960.5011978,"15/02/2023, 17:39:20",1676462985.9917016,0.7882301000063308,5
2Item7,2,Item7,match,Difficult,CORRECT,39.676370900007896,1676462986.8201735,"15/02/2023, 17:39:46",1676463026.4965444,0.908961699984502,5
2Item8,2,Item8,nomatch,Difficult,CORRECT,42.04802889999701,1676463027.4428916,"15/02/2023, 17:40:27",1676463069.4909203,0.7739995999727398,5
2Item9,2,Item9,nomatch,Difficult,CORRECT,18.91106920002494,1676463070.301917,"15/02/2023, 17:41:10",1676463089.2129862,0.7162479999824427,5
2Item10,2,Item10,match,Difficult,INCORRECT,52.81838459998835,1676463089.964909,"15/02/2023, 17:41:29",1676463142.7832935,1.63453889999073,5
3spl1,3,spl1,match,Easy,CORRECT,4.954158600012306,1676463224.883502,"15/02/2023, 17:43:44",1676463229.8376606,0.0,5
3spl2,3,spl2,nomatch,Easy,CORRECT,5.339668500004336,1676463229.8617988,"15/02/2023, 17:43:49",1676463235.2014673,0.0,5
3Item15,3,Item15,nomatch,Difficult,CORRECT,8.710425700002816,1676463235.2257073,"15/02/2023, 17:43:55",1676463243.936133,0.0,5
3Item2,3,Item2,match,Easy,CORRECT,6.415568900003564,1676463243.9634514,"15/02/2023, 17:44:03",1676463250.3790202,0.0,5
3Item5,3,Item5,match,Easy,CORRECT,4.296780000033323,1676463250.4041462,"15/02/2023, 17:44:10",1676463254.7009263,0.0,5
3Item12,3,Item12,match,Medium,CORRECT,4.021118300035596,1676463254.7140918,"15/02/2023, 17:44:14",1676463258.7352102,0.0,5
3Item6,3,Item6,match,Easy,CORRECT,3.03004649997456,1676463258.752574,"15/02/2023, 17:44:18",1676463261.7826204,0.0,5
3Item8,3,Item8,nomatch,Medium,CORRECT,9.408941100002266,1676463261.8028257,"15/02/2023, 17:44:21",1676463271.2117667,0.0,5
3Item7,3,Item7,match,Medium,CORRECT,6.296765899984166,1676463271.2380362,"15/02/2023, 17:44:31",1676463277.534802,0.0,5
3Item9,3,Item9,nomatch,Medium,CORRECT,10.054493699979504,1676463277.5516722,"15/02/2023, 17:44:37",1676463287.606166,0.0,5
3Item17,3,Item17,match,Difficult,INCORRECT,8.74855340004433,1676463287.619804,"15/02/2023, 17:44:47",1676463296.3683574,0.0,5
